Connect database
Seeded default roles: owner, manager, cashier, waiter, chef
[GIN] 2026/05/05 - 19:05:46 | 200 |       504.1µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 19:07:08 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:07:08 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:07:08 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 19:07:08 | 404 |       503.8µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:07:08 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 19:07:39 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:07:39 | 200 |      1.3852ms |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:07:39 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 19:07:39 | 200 |       514.8µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 19:07:39 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:07:39 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:07:39 | 204 |       508.6µs |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:07:39 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:07:39 | 200 |      1.0277ms |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:07:39 | 200 |      1.0277ms |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:07:39 | 200 |       506.5µs |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:07:39 | 200 |      1.0223ms |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:07:52 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 19:07:52 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 19:07:52 | 200 |       503.5µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 19:07:52 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 19:09:46 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:09:46 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:09:46 | 204 |       332.8µs |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:09:46 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:09:46 | 200 |       877.1µs |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:09:46 | 200 |       523.4µs |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:09:46 | 200 |       630.6µs |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:09:46 | 200 |       948.1µs |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:10:14 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 19:10:14 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 19:10:14 | 200 |       509.9µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 19:10:14 | 200 |       504.3µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 19:10:21 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:10:21 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:10:21 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:10:21 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:10:21 | 200 |       504.1µs |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:10:21 | 200 |      1.0165ms |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:10:21 | 200 |      1.0256ms |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:10:21 | 200 |       512.8µs |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:11:27 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:27 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:27 | 200 |       503.4µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:27 | 200 |       513.6µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:29 | 201 |      2.4621ms |    192.168.1.42 | POST     "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:29 | 201 |       578.5µs |    192.168.1.42 | POST     "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:29 | 201 |       503.2µs |    192.168.1.42 | POST     "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:29 | 201 |       503.9µs |    192.168.1.42 | POST     "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:29 | 201 |       503.6µs |    192.168.1.42 | POST     "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:29 | 201 |       503.9µs |    192.168.1.42 | POST     "/api/v1/tables"
[GIN] 2026/05/05 - 19:11:29 | 201 |       503.6µs |    192.168.1.42 | POST     "/api/v1/tables"
